epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8175,1.0494,4.04654,1.04804,0.00592,0.38021,0.10007,0.08825,0.47145,3.97506,0.81417,4.165e-05,4.165e-05,4.165e-05
2,78.804,0.79377,3.75917,0.96791,0.01143,0.48542,0.19024,0.14968,0.53241,3.89745,0.80371,9.07229e-05,9.07229e-05,9.07229e-05
3,118.191,0.74711,3.19865,0.9417,0.01997,0.54271,0.24492,0.22285,0.46283,3.74072,0.78493,0.000138806,0.000138806,0.000138806
4,156.424,0.74919,2.66011,0.92646,0.01871,0.55208,0.25679,0.23625,0.46881,3.58754,0.78619,0.0001859,0.0001859,0.0001859
5,195.108,0.70434,2.2135,0.92283,0.97959,0.10109,0.27157,0.23604,0.52695,3.368,0.7948,0.000232004,0.000232004,0.000232004
6,234.287,0.65515,1.8796,0.8917,0.98024,0.10747,0.32407,0.29388,0.48765,3.28123,0.80824,0.000277118,0.000277118,0.000277118
7,272.653,0.68434,1.7428,0.90727,0.93773,0.15524,0.29266,0.26073,0.48217,3.27279,0.81547,0.000321243,0.000321243,0.000321243
8,311.795,0.65809,1.6145,0.90073,0.95944,0.18758,0.29262,0.26546,0.51252,3.3144,0.82011,0.000364378,0.000364378,0.000364378
9,346.305,0.62467,1.52444,0.90692,0.9516,0.14821,0.27553,0.26168,0.4962,3.34635,0.82125,0.000406524,0.000406524,0.000406524
10,374.939,0.63972,1.42486,0.92454,0.95798,0.20586,0.32594,0.30848,0.47789,3.01496,0.81634,0.00044768,0.00044768,0.00044768
11,404.088,0.58614,1.29271,0.8916,0.93725,0.20833,0.41676,0.37945,0.48091,2.82708,0.80427,0.000487846,0.000487846,0.000487846
12,434.623,0.61141,1.26957,0.87768,0.9462,0.26046,0.50999,0.46647,0.47129,2.62642,0.80695,0.000527023,0.000527023,0.000527023
13,464.896,0.55713,1.20884,0.8916,0.9025,0.2625,0.56139,0.49763,0.47956,2.36253,0.82271,0.00056521,0.00056521,0.00056521
14,495.515,0.62097,1.12181,0.89586,0.86262,0.35312,0.63527,0.56163,0.49111,2.22009,0.82349,0.000602408,0.000602408,0.000602408
15,525.889,0.58149,1.10125,0.87924,0.82725,0.34167,0.65993,0.58489,0.46939,2.14955,0.81879,0.000638616,0.000638616,0.000638616
16,555.876,0.59711,1.06306,0.88347,0.74228,0.35865,0.64409,0.57508,0.47099,2.18869,0.81322,0.000673835,0.000673835,0.000673835
17,586.113,0.57638,1.10841,0.89265,0.72894,0.3784,0.63754,0.56977,0.47273,2.14361,0.81764,0.000701053,0.000701053,0.000701053
18,616.514,0.57834,1.01902,0.88618,0.77828,0.63928,0.74841,0.65398,0.45239,1.67849,0.80248,0.000692806,0.000692806,0.000692806
19,646.963,0.53335,0.99093,0.86564,0.81018,0.71452,0.81665,0.70687,0.44653,1.55072,0.802,0.000684559,0.000684559,0.000684559
20,677.357,0.55498,0.99551,0.87623,0.81934,0.69459,0.79644,0.69756,0.45152,1.71434,0.80845,0.000676313,0.000676313,0.000676313
21,707.717,0.55897,0.95022,0.8708,0.83123,0.67747,0.80615,0.71073,0.44372,1.67334,0.8118,0.000668066,0.000668066,0.000668066
22,738.024,0.55746,0.97333,0.85755,0.74287,0.75052,0.78719,0.69184,0.43917,1.36461,0.81074,0.000659819,0.000659819,0.000659819
23,768.224,0.55348,0.91001,0.85611,0.82917,0.6907,0.7981,0.699,0.43022,1.26002,0.80663,0.000651573,0.000651573,0.000651573
24,798.713,0.54742,0.95609,0.88465,0.84123,0.74266,0.83324,0.74328,0.4412,1.27688,0.81418,0.000643326,0.000643326,0.000643326
25,829.866,0.58348,0.94069,0.88649,0.849,0.81283,0.84521,0.76198,0.43827,1.30358,0.81659,0.000635079,0.000635079,0.000635079
26,860.201,0.57621,0.99237,0.89791,0.78637,0.77829,0.83677,0.75384,0.41908,1.29672,0.81036,0.000626832,0.000626832,0.000626832
27,890.304,0.53841,0.86356,0.88597,0.81083,0.84717,0.85354,0.77815,0.40709,1.19879,0.81521,0.000618586,0.000618586,0.000618586
28,920.712,0.56414,0.89446,0.88741,0.82803,0.82856,0.86113,0.78028,0.40323,1.05826,0.81427,0.000610339,0.000610339,0.000610339
29,950.964,0.50218,0.84842,0.84645,0.81593,0.82775,0.87669,0.80262,0.39574,1.07108,0.81938,0.000602092,0.000602092,0.000602092
30,981.477,0.53568,0.90798,0.87807,0.83543,0.85855,0.8616,0.7686,0.39681,1.05521,0.82444,0.000593846,0.000593846,0.000593846
31,1011.74,0.55371,0.91649,0.89158,0.83785,0.85363,0.86037,0.7679,0.39955,1.03589,0.82174,0.000585599,0.000585599,0.000585599
32,1041.92,0.48463,0.80594,0.85002,0.85279,0.86537,0.8708,0.75488,0.40558,0.98059,0.81223,0.000577352,0.000577352,0.000577352
33,1071.76,0.503,0.83133,0.87935,0.8549,0.8482,0.86751,0.75943,0.41225,0.95244,0.81394,0.000569106,0.000569106,0.000569106
34,1102.1,0.4916,0.83206,0.86246,0.8844,0.80479,0.88299,0.79063,0.36665,0.96518,0.8099,0.000560859,0.000560859,0.000560859
35,1132.16,0.4755,0.79115,0.86571,0.90024,0.80665,0.88043,0.80352,0.35886,0.94781,0.80778,0.000552612,0.000552612,0.000552612
36,1162.44,0.48924,0.82765,0.86443,0.85326,0.86638,0.88001,0.79155,0.35038,0.88792,0.80951,0.000544365,0.000544365,0.000544365
37,1192.63,0.47354,0.77776,0.86342,0.85679,0.87344,0.87366,0.78089,0.36275,0.91432,0.81295,0.000536119,0.000536119,0.000536119
38,1222.88,0.4904,0.78317,0.86885,0.85653,0.88757,0.89644,0.80423,0.36878,0.91049,0.81801,0.000527872,0.000527872,0.000527872
39,1253.12,0.45991,0.73702,0.85952,0.86847,0.86059,0.89592,0.82165,0.34775,0.87662,0.81226,0.000519625,0.000519625,0.000519625
40,1283.29,0.43851,0.74676,0.84696,0.87625,0.86575,0.89083,0.81468,0.33158,0.82568,0.80992,0.000511379,0.000511379,0.000511379
41,1313.4,0.45656,0.71334,0.85692,0.87687,0.8614,0.89248,0.7933,0.34028,0.82259,0.81103,0.000503132,0.000503132,0.000503132
42,1343.73,0.47921,0.70641,0.85515,0.87001,0.91069,0.8956,0.80405,0.35044,0.8639,0.81286,0.000494885,0.000494885,0.000494885
43,1373.78,0.43292,0.70624,0.854,0.8571,0.90852,0.89733,0.79873,0.37202,0.90488,0.81983,0.000486639,0.000486639,0.000486639
44,1404.13,0.46059,0.74722,0.85203,0.83903,0.84903,0.87948,0.77303,0.37878,0.89668,0.81627,0.000478392,0.000478392,0.000478392
45,1433.93,0.48078,0.77103,0.85309,0.82398,0.82719,0.86424,0.76432,0.35706,0.86178,0.80919,0.000470145,0.000470145,0.000470145
46,1464.34,0.46439,0.76205,0.85737,0.87447,0.85192,0.85537,0.77181,0.34967,0.82548,0.80941,0.000461898,0.000461898,0.000461898
47,1494.29,0.45136,0.70948,0.84389,0.88414,0.85656,0.86055,0.77062,0.36164,0.82971,0.81067,0.000453652,0.000453652,0.000453652
48,1524.35,0.45952,0.70524,0.85848,0.88293,0.85179,0.87251,0.78617,0.34837,0.80339,0.80418,0.000445405,0.000445405,0.000445405
49,1554.37,0.43421,0.7304,0.83505,0.88897,0.84849,0.87945,0.79172,0.34006,0.77341,0.80752,0.000437158,0.000437158,0.000437158
50,1584.3,0.42436,0.68447,0.83575,0.89419,0.83847,0.89382,0.8156,0.34259,0.77135,0.81572,0.000428912,0.000428912,0.000428912
51,1614.2,0.43058,0.66321,0.85111,0.90472,0.85374,0.90223,0.82536,0.34658,0.77554,0.81906,0.000420665,0.000420665,0.000420665
52,1644.48,0.45756,0.71383,0.86887,0.89883,0.83894,0.88831,0.82545,0.3492,0.79405,0.8183,0.000412418,0.000412418,0.000412418
